EQM1 Código;EQM1;Identificador Elemento Inventario;Código Vía;Vía;PK Inicial;PK Final;Línea Código;Línea Eje;Línea Descripción;Clase de vía;Tipo de asiento - Sobre Balasto;Estado Elemento Inventario;Id. Inventario;Código Trayecto;Trayecto;Trayecto Pk Ini;Trayecto Pk Fin
14120;Girona - VIA;TRMV - 79206 GIRONA-MERCADERIES - VIA 8 DE GIRONA-MERCADERIES;86316;VIA 8 DE GIRONA-MERCADERIES;202,31;202,88;270;2 ;CERBERE - BIF. ARAGO;;;En Servicio/No Mantenible;107462316;022700115;FORNELLS DE LA SELVA-GIRONA-MERCADERIES                                                                                         ;202,31;202,88
14121;Port Bou;TRMV - 79315 PORTBOU - PORT BOU-CAMBIADOR DE ANCHO-CERBERE, U;200510;PORT BOU-CAMBIADOR DE ANCHO-CERBERE, U;273,339;273,839;270;2 ;CERBERE - BIF. ARAGO;;;En Servicio/Mantenible;107458544;;;;
14121;Port Bou;TRMV - 79316 CERBERE - PORT BOU-CAMBIADOR DE ANCHO-CERBERE, U;200510;PORT BOU-CAMBIADOR DE ANCHO-CERBERE, U;274,305;274,305;270;2 ;CERBERE - BIF. ARAGO;;;En Servicio/Mantenible;107458547;;;;
14118;Mataro - VIA;TRMV - 79407 EL MASNOU - BIF. SAGRERA-AG.KM. 108,0-MATARO, II;3380;BIF. SAGRERA-AG.KM. 108,0-MATARO, II;119,586;120,483;276;2 ;MAÇANET-MASSANES - L'HOSPITALET DE LLOBREGAT;;;En Servicio/Mantenible;107455225;022760140;MATARO - BIF. SAGRERA-AG.KM. 108,0                                                                                              ;108,077;135,569
13122;Monzon - VIA;TRMV - 99501 MONTAGUT (CGD) - S. JUAN DE MOZARRIFAR-LERIDA, U;200020;S. JUAN DE MOZARRIFAR-LERIDA, U;172,56;172,7;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;;;En Servicio/Mantenible;107457969;022000400;ALMACELLES-LLEIDA-PIRINEUS                                                                                                      ;159,314;183,825
12106;Zaragoza - VIA;TRMV - A7080 AGUJA KM. 337,1 - S. FERNANDO-MIRAFLORES, I (G1);200010;S. FERNANDO-MIRAFLORES, I (G1);337,1;337,299;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;;;En Servicio/Mantenible;107457888;022000260;CIM-AG. KM.337,1-ZARAGOZA DELICIAS                                                                                              ;337,1;339,388
13113;Reus - VIA;TRMV - A7203 REPSOL QUIMICA S.A. (CGD) - REUS - KM. 590,45, U;3000;REUS - KM. 590,45, U;590,45;590,45;234;2 ;REUS-CONSTANTI;;;En Servicio/Mantenible;107454992;022340010;REUS-CONSTANTI                                                                                                                  ;579,824;590,45
14111;L Hospitalet - VIA;TRMV - B8801 BIF. VILANOVA - BARCELONA SANTS-BIF. VILANOVA, I;2805;BARCELONA SANTS-BIF. VILANOVA, I;103,447;103,515;276;2 ;MAÇANET-MASSANES - L'HOSPITALET DE LLOBREGAT;;;En Servicio/Mantenible;107454916;022760190;BIF. VILANOVA - BARCELONA-SANTS                                                                                                 ;100,295;103,515
12104;Calatayud - VIA;TRMV - 70405 MONREAL DE ARIZA - S. FERNANDO-CALATAYUD, II (G2);200090;S. FERNANDO-CALATAYUD, II (G2);199,9;200,9;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;;;En Servicio/Mantenible;107458198;022000170;SANTA MARIA DE HUERTA-ARIZA                                                                                                     ;194,6;205,043
12104;Calatayud - VIA;TRMV - 70405 MONREAL DE ARIZA - S. FERNANDO-MIRAFLORES, I (G1);200010;S. FERNANDO-MIRAFLORES, I (G1);199,9;200,9;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;;;En Servicio/Mantenible;107457860;022000170;SANTA MARIA DE HUERTA-ARIZA                                                                                                     ;194,6;205,043
