EQM1 Código;EQM1;Identificador Elemento Inventario;Código Vía;Vía;PK Inicial;Línea Código;Línea Descripción;Estado Elemento Inventario;Modelo;Id. Raíz;Tipo Aparato Dilatación;Id. Inventario;Código Trayecto;Trayecto;Trayecto Pk Ini;Trayecto Pk Fin
12104;Calatayud - VIA;AD-U-249.821;200010;S. FERNANDO-MIRAFLORES, I (G1);249,821;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;En Servicio/Mantenible;;100007255;Tipo Aparato Dilatación - AD Genérico Tipo A;31661;022000190;CALATAYUD-MORATA DE JALON                                                                                                       ;244,627;272,252
12104;Calatayud - VIA;AD-U-249.935;200010;S. FERNANDO-MIRAFLORES, I (G1);249,935;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;En Servicio/Mantenible;;100007255;Tipo Aparato Dilatación - AD Genérico Tipo A;31085;022000190;CALATAYUD-MORATA DE JALON                                                                                                       ;244,627;272,252
12104;Calatayud - VIA;AD-U-254.752;200010;S. FERNANDO-MIRAFLORES, I (G1);254,752;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;En Servicio/Mantenible;;100007255;Tipo Aparato Dilatación - AD Genérico Tipo A;31127;022000190;CALATAYUD-MORATA DE JALON                                                                                                       ;244,627;272,252
12108;Caspe - VIA;AD-U-397.570;2400;MIRAFLORES-REUS, U;397,57;210;MIRAFLORES - SANT VICENÇ DE CALDERS;En Servicio/Mantenible;AD-M-54-200;100000069;Tipo Aparato Dilatación - AD-M-54-200;32161;022100050;LA ZAIDA-SASTAGO-LA PUEBLA DE HIJAR                                                                                             ;396,825;412,652
12105;Ricla-La Almunia - VIA;AD-II-263.902;85139;VIA 2 DE MORES;263,902;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;En Servicio/Mantenible;;100005394;Tipo Aparato Dilatación - AD Genérico Martinet;100451105;022000190;CALATAYUD-MORATA DE JALON                                                                                                       ;263,303;264,059
12106;Zaragoza - VIA;AD-U-2.002`20;200320;ZARAGOZA ARRABAL-CORBERA ALTA, U;1,998;893;RAMALES DE LA LINEA MADRID-CHAMARTIN - BARNA-SANTS;En Servicio/Mantenible;;100007300;Tipo Aparato Dilatación - AD Genérico Tipo A;100451273;020002010;ZARAGOZA CORBERA ALTA-ZARAGOZA-ARRABAL                                                                                          ;0,875;4,057
12106;Zaragoza - VIA;AD-U-3.458`40;200600;MIRAFLORES-S. JUAN DE MOZARRIFAR, U;3,45;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;En Servicio/Mantenible;ADH-P-60-340;100007323;Tipo Aparato Dilatación - AD-H-60-340;100451271;022000290;MIRAFLORES-AGUJA KM. 0,9-COGULLADA                                                                                              ;0,914;6,08
12106;Zaragoza - VIA;AD-U-368.436.;2400;MIRAFLORES-REUS, U;368,436;210;MIRAFLORES - SANT VICENÇ DE CALDERS;En Servicio/Mantenible;AD MARTINET RN 45;100000069;Tipo Aparato Dilatación - Martinet RN 45;100451241;022100040;LA CARTUJA-AGUJA KM. 351,1-LA ZAIDA-SASTAGO                                                                                     ;351,1;396,825
12106;Zaragoza - VIA;AD-U-368.530.;2400;MIRAFLORES-REUS, U;368,53;210;MIRAFLORES - SANT VICENÇ DE CALDERS;En Servicio/Mantenible;AD MARTINET RN 45;100000069;Tipo Aparato Dilatación - Martinet RN 45;100451242;022100040;LA CARTUJA-AGUJA KM. 351,1-LA ZAIDA-SASTAGO                                                                                     ;351,1;396,825
12111;Huesca - VIA;AD-U-9.893`20;2520;JACA-CANFRANC, U;9,889;204;BIF. CANFRANC - CANFRANC;En Servicio/Mantenible;AD-M-54-200;100000079;Tipo Aparato Dilatación - AD-M-54-200;100451196;022040050;JACA-CANFRANC                                                                                                                   ;0,31;25,16
12105;Ricla-La Almunia - VIA;AD-II-271.965.;85144;VIA 2 DE MORATA DE JALON;271,965;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;En Servicio/Mantenible;;100005399;Tipo Aparato Dilatación - AD Genérico Martinet;100451169;022000190;CALATAYUD-MORATA DE JALON                                                                                                       ;271,755;272,572
12111;Huesca - VIA;AD-U-06.374`20;2520;JACA-CANFRANC, U;6,37;204;BIF. CANFRANC - CANFRANC;En Servicio/Mantenible;;100000079;Tipo Aparato Dilatación - AD Genérico Tipo A;100451185;022040050;JACA-CANFRANC                                                                                                                   ;0,31;25,16
12111;Huesca - VIA;AD-U-16.755`20;2520;JACA-CANFRANC, U;16,751;204;BIF. CANFRANC - CANFRANC;En Servicio/Mantenible;AD-M-54-200;100000079;Tipo Aparato Dilatación - AD-M-54-200;100451197;022040050;JACA-CANFRANC                                                                                                                   ;0,31;25,16
12111;Huesca - VIA;AD-U-20.200`20;2520;JACA-CANFRANC, U;20,196;204;BIF. CANFRANC - CANFRANC;En Servicio/Mantenible;;100000079;Tipo Aparato Dilatación - AD Genérico Tipo A;100451160;022040050;JACA-CANFRANC                                                                                                                   ;0,31;25,16
12111;Huesca - VIA;AD-U-21.671`20;2520;JACA-CANFRANC, U;21,667;204;BIF. CANFRANC - CANFRANC;En Servicio/Mantenible;AD-A-54-200;100000079;Tipo Aparato Dilatación - AD Genérico Tipo A;100451161;022040050;JACA-CANFRANC                                                                                                                   ;0,31;25,16
12111;Huesca - VIA;AD-U-98.037`20;2510;HOYA DE HUESCA-JACA, U;98,033;204;BIF. CANFRANC - CANFRANC;En Servicio/Mantenible;AD-M-54-200;100000078;Tipo Aparato Dilatación - AD-M-54-200;100451183;022040040;SANTA MARIA Y LA PEÑA-JACA                                                                                                      ;53,594;110,524
12111;Huesca - VIA;A.D-U-14.864`20;2510;HOYA DE HUESCA-JACA, U;14,86;204;BIF. CANFRANC - CANFRANC;En Servicio/Mantenible;AD-M-54-200;100000078;Tipo Aparato Dilatación - AD-M-54-200;100452080;022040020;HOYA DE HUESCA-AGUJA KM. 2,3-AYERBE                                                                                             ;0,8;34,96
12111;Huesca - VIA;A.D-U-71.859`20;2510;HOYA DE HUESCA-JACA, U;71,855;204;BIF. CANFRANC - CANFRANC;En Servicio/Mantenible;AD-M-54-200;100000078;Tipo Aparato Dilatación - AD-M-54-200;100451184;022040040;SANTA MARIA Y LA PEÑA-JACA                                                                                                      ;53,594;110,524
12105;Ricla-La Almunia - VIA;AD-I-275.543`20;200010;S. FERNANDO-MIRAFLORES, I (G1);275,539;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;En Servicio/Mantenible;;100007255;Tipo Aparato Dilatación - AD Genérico Tipo A;100451173;022000200;MORATA DE JALON-RICLA-LA ALMUNIA                                                                                                ;272,252;280,448
12105;Ricla-La Almunia - VIA;AD-I-278.864`20;200010;S. FERNANDO-MIRAFLORES, I (G1);278,86;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;En Servicio/Mantenible;;100007255;Tipo Aparato Dilatación - AD Genérico Tipo A;100451175;022000200;MORATA DE JALON-RICLA-LA ALMUNIA                                                                                                ;272,252;280,448
12105;Ricla-La Almunia - VIA;AD-I-278.999`20;200010;S. FERNANDO-MIRAFLORES, I (G1);278,995;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;En Servicio/Mantenible;;100007255;Tipo Aparato Dilatación - AD Genérico Tipo A;100451176;022000200;MORATA DE JALON-RICLA-LA ALMUNIA                                                                                                ;272,252;280,448
12105;Ricla-La Almunia - VIA;AD-I-314.165`20;200010;S. FERNANDO-MIRAFLORES, I (G1);314,161;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;En Servicio/Mantenible;;100007255;Tipo Aparato Dilatación - AD Genérico Tipo A;100451100;022000220;CAMBIADOR PLASENCIA AG. KM. 308,6-GRISEN                                                                                        ;308,6;314,643
12105;Ricla-La Almunia - VIA;AD-I-314.801`20;200010;S. FERNANDO-MIRAFLORES, I (G1);314,797;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;En Servicio/Mantenible;;100007255;Tipo Aparato Dilatación - AD Genérico Tipo A;100451101;022000230;GRISEN-CASETAS                                                                                                                  ;314,643;327,643
12104;Calatayud - VIA;AD-III-204.223.;85109;VIA ESCAPE 3/1 DE ARIZA;204,223;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;En Servicio/Mantenible;AD MARTINET UIC 54;100005364;Tipo Aparato Dilatación - Martinet UIC-54;100451177;022000170;SANTA MARIA DE HUERTA-ARIZA                                                                                                     ;204,158;204,228
12106;Zaragoza - VIA;AD-U-110.403`20;2300;CAMINREAL-BIF. TERUEL, U;110,399;610;BIF. TERUEL - SAGUNT;En Servicio/Mantenible;;100000067;Tipo Aparato Dilatación - AD Genérico Tipo A;100451507;026100010;BIF. TERUEL-CUARTE DE HUERVA                                                                                                    ;110,1;113,633
12106;Zaragoza - VIA;AD-U-110.411,20;2300;CAMINREAL-BIF. TERUEL, U;110,407;610;BIF. TERUEL - SAGUNT;En Servicio/Mantenible;;100000067;Tipo Aparato Dilatación - AD Genérico Tipo A;100451593;026100010;BIF. TERUEL-CUARTE DE HUERVA                                                                                                    ;110,1;113,633
12106;Zaragoza - VIA;AD-U-110.479,20;2300;CAMINREAL-BIF. TERUEL, U;110,475;610;BIF. TERUEL - SAGUNT;En Servicio/Mantenible;;100000067;Tipo Aparato Dilatación - AD Genérico Tipo A;100451594;026100010;BIF. TERUEL-CUARTE DE HUERVA                                                                                                    ;110,1;113,633
12106;Zaragoza - VIA;AD-U-110.497`20;2300;CAMINREAL-BIF. TERUEL, U;110,493;610;BIF. TERUEL - SAGUNT;En Servicio/Mantenible;;100000067;Tipo Aparato Dilatación - AD Genérico Tipo A;100451508;026100010;BIF. TERUEL-CUARTE DE HUERVA                                                                                                    ;110,1;113,633
12104;Calatayud - VIA;AD-U-255.285`20;200010;S. FERNANDO-MIRAFLORES, I (G1);255,281;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;En Servicio/Mantenible;;100007255;Tipo Aparato Dilatación - AD Genérico Tipo A;100451083;022000190;CALATAYUD-MORATA DE JALON                                                                                                       ;244,627;272,252
12106;Zaragoza - VIA;AD-U-369.130`20;2400;MIRAFLORES-REUS, U;369,126;210;MIRAFLORES - SANT VICENÇ DE CALDERS;En Servicio/Mantenible;;100000069;Tipo Aparato Dilatación - AD Genérico Tipo A;100451239;022100040;LA CARTUJA-AGUJA KM. 351,1-LA ZAIDA-SASTAGO                                                                                     ;351,1;396,825
12108;Caspe - VIA;AD-U-383.969`20;2400;MIRAFLORES-REUS, U;383,965;210;MIRAFLORES - SANT VICENÇ DE CALDERS;En Servicio/Mantenible;;100000069;Tipo Aparato Dilatación - AD Genérico Tipo A;100451243;022100040;LA CARTUJA-AGUJA KM. 351,1-LA ZAIDA-SASTAGO                                                                                     ;351,1;396,825
12108;Caspe - VIA;AD-U-384.794`20;2400;MIRAFLORES-REUS, U;384,79;210;MIRAFLORES - SANT VICENÇ DE CALDERS;En Servicio/Mantenible;;100000069;Tipo Aparato Dilatación - AD Genérico Tipo A;100451244;022100040;LA CARTUJA-AGUJA KM. 351,1-LA ZAIDA-SASTAGO                                                                                     ;351,1;396,825
12108;Caspe - VIA;AD-U-396.570,20;2400;MIRAFLORES-REUS, U;396,58;210;MIRAFLORES - SANT VICENÇ DE CALDERS;En Servicio/Mantenible;AD-M-54-200;100000069;Tipo Aparato Dilatación - AD-M-54-200;100451560;022100040;LA CARTUJA-AGUJA KM. 351,1-LA ZAIDA-SASTAGO                                                                                     ;351,1;396,825
12108;Caspe - VIA;AD-U-397.382,20;2400;MIRAFLORES-REUS, U;397,378;210;MIRAFLORES - SANT VICENÇ DE CALDERS;En Servicio/Mantenible;AD-M-54-200;100000069;Tipo Aparato Dilatación - AD-M-54-200;100451561;022100050;LA ZAIDA-SASTAGO-LA PUEBLA DE HIJAR                                                                                             ;396,825;412,652
12108;Caspe - VIA;AD-U-412.189,20;2400;MIRAFLORES-REUS, U;412,185;210;MIRAFLORES - SANT VICENÇ DE CALDERS;En Servicio/Mantenible;AD-A-54-200;100000069;Tipo Aparato Dilatación - AD Genérico Tipo A;100451581;022100050;LA ZAIDA-SASTAGO-LA PUEBLA DE HIJAR                                                                                             ;396,825;412,652
12108;Caspe - VIA;AD-U-412.338,20;2400;MIRAFLORES-REUS, U;412,334;210;MIRAFLORES - SANT VICENÇ DE CALDERS;En Servicio/Mantenible;AD-A-54-200;100000069;Tipo Aparato Dilatación - AD Genérico Tipo A;100451582;022100050;LA ZAIDA-SASTAGO-LA PUEBLA DE HIJAR                                                                                             ;396,825;412,652
12108;Caspe - VIA;AD-U-412.892,20;2400;MIRAFLORES-REUS, U;413,048;210;MIRAFLORES - SANT VICENÇ DE CALDERS;En Servicio/Mantenible;AD-M-54-200;100000069;Tipo Aparato Dilatación - AD-M-54-200;100451587;022100060;LA PUEBLA DE HIJAR-SAMPER                                                                                                       ;412,652;422,143
12108;Caspe - VIA;AD-U-413.052,20;2400;MIRAFLORES-REUS, U;413,048;210;MIRAFLORES - SANT VICENÇ DE CALDERS;En Servicio/Mantenible;AD-M-54-200;100000069;Tipo Aparato Dilatación - AD-M-54-200;100451586;022100060;LA PUEBLA DE HIJAR-SAMPER                                                                                                       ;412,652;422,143
12108;Caspe - VIA;AD-U-453.560,20;2400;MIRAFLORES-REUS, U;453,456;210;MIRAFLORES - SANT VICENÇ DE CALDERS;En Servicio/Mantenible;AD-M-54-340-EPM;100000069;Tipo Aparato Dilatación - AD Genérico Tipo A;100451584;022100090;CASPE-FAIO-LA POBLA DE MASSALUCA                                                                                                ;453,043;490,231
12108;Caspe - VIA;AD-U-453.571,20;2400;MIRAFLORES-REUS, U;453,567;210;MIRAFLORES - SANT VICENÇ DE CALDERS;En Servicio/Mantenible;AD-M-54-340-EPM;100000069;Tipo Aparato Dilatación - AD Genérico Tipo A;100451585;022100090;CASPE-FAIO-LA POBLA DE MASSALUCA                                                                                                ;453,043;490,231
12108;Caspe - VIA;AD-U-479.655,20;2400;MIRAFLORES-REUS, U;479,651;210;MIRAFLORES - SANT VICENÇ DE CALDERS;En Servicio/Mantenible;AD-M-54-200;100000069;Tipo Aparato Dilatación - AD-M-54-200;100451562;022100090;CASPE-FAIO-LA POBLA DE MASSALUCA                                                                                                ;453,043;490,231
12108;Caspe - VIA;AD-U-480.457,20;2400;MIRAFLORES-REUS, U;480,453;210;MIRAFLORES - SANT VICENÇ DE CALDERS;En Servicio/Mantenible;AD-M-54-200;100000069;Tipo Aparato Dilatación - AD-M-54-200;100451563;022100090;CASPE-FAIO-LA POBLA DE MASSALUCA                                                                                                ;453,043;490,231
12105;Ricla-La Almunia - VIA;AD-I-275.413`20.;200010;S. FERNANDO-MIRAFLORES, I (G1);275,409;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;En Servicio/Mantenible;;100007255;Tipo Aparato Dilatación - AD Genérico Tipo A;100451172;022000200;MORATA DE JALON-RICLA-LA ALMUNIA                                                                                                ;272,252;280,448
12105;Ricla-La Almunia - VIA;AD-I-295.084`20.;200010;S. FERNANDO-MIRAFLORES, I (G1);295,08;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;En Servicio/Mantenible;;100007255;Tipo Aparato Dilatación - AD Genérico Tipo A;100451090;022000210;RICLA-LA ALMUNIA-CAMB-AG.KM.308,6                                                                                               ;280,448;308,6
12105;Ricla-La Almunia - VIA;AD-I-295.309`20.;200010;S. FERNANDO-MIRAFLORES, I (G1);295,305;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;En Servicio/Mantenible;;100007255;Tipo Aparato Dilatación - AD Genérico Tipo A;100451091;022000210;RICLA-LA ALMUNIA-CAMB-AG.KM.308,6                                                                                               ;280,448;308,6
12105;Ricla-La Almunia - VIA;AD-I-295.971`20.;200010;S. FERNANDO-MIRAFLORES, I (G1);295,967;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;En Servicio/Mantenible;;100007255;Tipo Aparato Dilatación - AD Genérico Tipo A;100451523;022000210;RICLA-LA ALMUNIA-CAMB-AG.KM.308,6                                                                                               ;280,448;308,6
12105;Ricla-La Almunia - VIA;AD-I-296.104`20.;200010;S. FERNANDO-MIRAFLORES, I (G1);296,1;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;En Servicio/Mantenible;;100007255;Tipo Aparato Dilatación - AD Genérico Tipo A;100451092;022000210;RICLA-LA ALMUNIA-CAMB-AG.KM.308,6                                                                                               ;280,448;308,6
