EQM1 Código;EQM1;Identificador Elemento Inventario;Código Vía;Vía;PK Inicial;PK Final;Línea Código;Línea Eje;Línea Descripción;Subtipo;Estado Elemento Inventario;Modelo;Fabricante;Descripción Elemento Inventario;Fecha de Servicio;Matrícula;Fecha de fabricación;Observaciones;Fecha de instalación;Identificador Antecesores;Id. Raíz;Tipo Encarriladora;Id. Inventario;Código Trayecto;Trayecto;Trayecto Pk Ini;Trayecto Pk Fin
12108;Caspe - VIA;EN-2400-453,427;2400;MIRAFLORES-REUS, U;453,427;;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;Sencilla;En Servicio/Mantenible;EN-54;TALLERES ALEGRÍA, S.A.;;;;;EN-U-453.427;;MIRAFLORES-REUS, U->EN-2400-453,427;100000069;Tipo Encarriladora - Otras;100462588;022100090;CASPE-FAIO-LA POBLA DE MASSALUCA                                                                                                ;453,043;490,231
12108;Caspe - VIA;EN-2400-453,596;2400;MIRAFLORES-REUS, U;453,596;;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;Sencilla;En Servicio/Mantenible;EN-54;TALLERES ALEGRÍA, S.A.;;;;;EN-U-453.596;;MIRAFLORES-REUS, U->EN-2400-453,596;100000069;Tipo Encarriladora - Otras;100462589;022100090;CASPE-FAIO-LA POBLA DE MASSALUCA                                                                                                ;453,043;490,231
12111;Huesca - VIA;EN-2510-105,413;2510;HOYA DE HUESCA-JACA, U;105,413;;204;2 ;BIF. CANFRANC - CANFRANC;Sencilla;En Servicio/Mantenible;EN-54;;;;;;EN-U-105,413;;HOYA DE HUESCA-JACA, U->EN-2510-105,413;100000078;;968530;022040040;SANTA MARIA Y LA PEÑA-JACA                                                                                                      ;53,594;110,524
12111;Huesca - VIA;EN-2510-105,465;2510;HOYA DE HUESCA-JACA, U;105,465;;204;2 ;BIF. CANFRANC - CANFRANC;Sencilla;En Servicio/Mantenible;EN-54;;;;;;EN-U-105,465;;HOYA DE HUESCA-JACA, U->EN-2510-105,465;100000078;;968529;022040040;SANTA MARIA Y LA PEÑA-JACA                                                                                                      ;53,594;110,524
14114;Manresa - VIA;EN-2800-335,352;2800;MANRESA-MONTCADA BIF.- BIF.VILANOVA, I;335,352;;220;2 ;LLEIDA-PIRINEUS - BIF. VILANOVA;Sencilla;En Servicio/Mantenible;EN-54;;;;;;EN-1-335,352;;MANRESA-MONTCADA BIF.- BIF.VILANOVA, I->EN-2800-335,352;100000087;;967314;022200070;TERRASSA ESTACIÓ DEL NORD-CERDANYOLA DEL VALLES                                                                                 ;333,74;351,157
14114;Manresa - VIA;EN-2800-335,448;2800;MANRESA-MONTCADA BIF.- BIF.VILANOVA, I;335,448;;220;2 ;LLEIDA-PIRINEUS - BIF. VILANOVA;Sencilla;En Servicio/Mantenible;EN-54;;;;;;EN-1-335,448;;MANRESA-MONTCADA BIF.- BIF.VILANOVA, I->EN-2800-335,448;100000087;;967315;022200070;TERRASSA ESTACIÓ DEL NORD-CERDANYOLA DEL VALLES                                                                                 ;333,74;351,157
14111;L Hospitalet - VIA;EN-2805-101,029;2805;BARCELONA SANTS-BIF. VILANOVA, I;101,029;;276;2 ;MAÇANET-MASSANES - L'HOSPITALET DE LLOBREGAT;Sencilla;En Servicio/Mantenible;EN-54;;;;;;EN-1-366,950;;MANRESA-MONTCADA BIF.- BIF.VILANOVA, I->EN-2805-101,029;100000087;;967319;022760190;BIF. VILANOVA - BARCELONA-SANTS                                                                                                 ;100,295;103,515
14114;Manresa - VIA;EN-2810-335,352;2810;MANRESA-MONTCADA BIF. - BIF.VILANOVA, II;335,352;;220;2 ;LLEIDA-PIRINEUS - BIF. VILANOVA;Sencilla;En Servicio/Mantenible;EN-54;;;;;;EN-2-335,352;;MANRESA-MONTCADA BIF. - BIF.VILANOVA, II->EN-2810-335,352;100000088;;967311;022200070;TERRASSA ESTACIÓ DEL NORD-CERDANYOLA DEL VALLES                                                                                 ;333,74;351,157
14114;Manresa - VIA;EN-2810-335,448;2810;MANRESA-MONTCADA BIF. - BIF.VILANOVA, II;335,448;;220;2 ;LLEIDA-PIRINEUS - BIF. VILANOVA;Sencilla;En Servicio/Mantenible;EN-54;;;;;;EN-2-335,448;;MANRESA-MONTCADA BIF. - BIF.VILANOVA, II->EN-2810-335,448;100000088;;967313;022200070;TERRASSA ESTACIÓ DEL NORD-CERDANYOLA DEL VALLES                                                                                 ;333,74;351,157
14111;L Hospitalet - VIA;EN-2815-101,029;2815;BARCELONA SANTS-BIF. VILANOVA, II;101,029;;276;2 ;MAÇANET-MASSANES - L'HOSPITALET DE LLOBREGAT;Sencilla;En Servicio/Mantenible;EN-54;;;;;;EN-1-366,950;;MANRESA-MONTCADA BIF. - BIF.VILANOVA, II->EN-2815-101,029;100000088;;1141788;022760190;BIF. VILANOVA - BARCELONA-SANTS                                                                                                 ;100,295;103,745
13113;Reus - VIA;EN-3000-581,278;3000;REUS - KM. 590,45, U;581,278;;234;2 ;REUS-CONSTANTI;Sencilla;En Servicio/Mantenible;EN-54;;EN-1-581,278;;;;EN-1-581,278;;REUS - KM. 590,45, U->EN-3000-581,278;100000094;;1485409;022340010;REUS-CONSTANTI                                                                                                                  ;579,824;590,45
13113;Reus - VIA;EN-3000-581,292;3000;REUS - KM. 590,45, U;581,292;;234;2 ;REUS-CONSTANTI;Sencilla;Fuera de Servicio/Mantenible;EN-54;;EN-2-581,292;;;;EN-2-581,292;;REUS - KM. 590,45, U->EN-3000-581,292;100000094;;1485410;022340010;REUS-CONSTANTI                                                                                                                  ;579,824;590,45
14118;Mataro - VIA;EN-3370-111,662;3370;BIF. SAGRERA-AG.KM. 108,0-MATARO, I;111,662;;276;2 ;MAÇANET-MASSANES - L'HOSPITALET DE LLOBREGAT;Sencilla;En Servicio/Mantenible;EN-54;;;;;;EN-1-005,714;;BIF. SAGRERA-AG.KM. 108,0-MATARO, I->EN-3370-111,662;1136546;;967329;022760140;MATARO - BIF. SAGRERA-AG.KM. 108,0                                                                                              ;108,014;135,569
