EQM1 Código;EQM1;EQM2 Código;EQM2;Identificador Elemento Inventario;Código Vía;Vía;PK Inicial;PK Final;Línea Código;Línea Eje;Línea Descripción;Tipo;Estado Elemento Inventario;Modelo;Descripción Elemento Inventario;Escape;Entreeje (sólo escapes) (mm);Posicionado en Curva;Orientación;Mano;Fecha de Modificación;Coordenada X ED50-HUSO 30 EXTENDIDO;Coordenada Y ED50-HUSO 30 EXTENDIDO;Id. Inventario;Trayecto;Trayecto Pk Ini;Trayecto Pk Fin
13122;Monzon - VIA;;;DS-9-78300 (SELGUA);86032;VIA 3 DE SELGUA;123,022;;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-A-54-320/400-0,09-CR-I;Selgua Desvio 9;No;;No;Punta;Izquierda;17/04/2014;;;100671695;SARIÑENA-SELGUA                                                                                                                 ;122,481;123,467
14120;Girona - VIA;;;DS-9-79300 (GIRONA);200131;BIF. AIGUES-POR BOU-CERBERE,II;204,776;;270;2 ;CERBERE - BIF. ARAGO;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-C-54-500-0,075-CR-I;;Sí;;No;Talón;Izquierda;28/10/2024;98193279,93;466334829,5;100674570;GIRONA-MERCADERIES-GIRONA                                                                                                       ;202,613;205,572
14121;Port Bou;;;DS-9-79312 (LLANÇA);86441;VIA 6 DE LLANÇA;266,096;;270;2 ;CERBERE - BIF. ARAGO;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-A-RN 45´-320/245-0,11-CR-I;;No;;No;Punta;Izquierda;25/10/2024;;;957827;FIGUERES-PORTBOU                                                                                                                ;266,035;266,668
14118;Mataro - VIA;;;DS-9-79500 (MATARO);950009;VIA 4 DE MATARO;132,223;;276;2 ;MAÇANET-MASSANES - L'HOSPITALET DE LLOBREGAT;;En Servicio/Mantenible;;;No;;;Punta;Izquierda;14/10/2008;;;100680214;MATARO - BIF. SAGRERA-AG.KM. 108,0                                                                                              ;132,014;133,177
14118;Mataro - VIA;;;DS-9-79606 (BLANES);86401;VIA 5 DE BLANES;59,864;;276;2 ;MAÇANET-MASSANES - L'HOSPITALET DE LLOBREGAT;;En Servicio/Mantenible;;;No;;No;Punta;Derecha;14/10/2008;;;100672746;MAÇANET-MASSANES - BLANES                                                                                                       ;59,86;60,435
12123;Alagon-VIA;;;DS-9-81207 (LUCENI);86604;VIA 8 DE LUCENI;37,369;;700;1 ;INT. ABANDO IND. PRIETO-CASETAS;;En Servicio/Mantenible;;;No;;No;Punta;Derecha;06/10/2015;;;100678879;CABAÑAS DE EBRO-CORTES DE NAVARRA                                                                                               ;37,25;37,991
12123;Alagon-VIA;;;DS-9-81210 (ALAGON);86614;VIA 7 DE ALAGON;24,512;;700;1 ;INT. ABANDO IND. PRIETO-CASETAS;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-A-54-320/241-0,11-CR-I;;No;;No;Punta;Izquierda;14/10/2008;;;100678414;CASETAS-CABAÑAS DE EBRO                                                                                                         ;24,418;25,115
13114;Mora La Nova- VIA;;;DS-1-71304 (PRADELL);2400;MIRAFLORES-REUS, U;556,571;;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-C-54-318-1:8,5-CC-I;DS-1-PRADELL;No;;Sí;Talón;Izquierda;23/11/2015;82445723,17;456097047,77;100670025;MORA LA NOVA-REUS                                                                                                               ;531,315;580,41
14113;Martorell - VIA;;;DS-1-72202 (L`ARBOÇ);3100;S. VICENTE CALDERS-CASTELLBISBAL-L'HOSPITALET DE LLOB, I;37,733;;240;2 ;S.VICENÇ CALDERS - L HOSPITALET DE LLOBREGAT;;En Servicio/Mantenible;DMMIH-G-60-500-0,071-CM/CR-I-TC;ARBOÇ N1;Sí;4040,;No;Talón;Izquierda;27/11/2024;;;1594054;L ARBOÇ-VILAFRANCA DEL PENEDES                                                                                                  ;36,516;48,278
13116;Borges Blanques- VIA;;;DS-1-73005 (VINAIXA);200030;LERIDA-LA PLANA PICAMOIXONS, U;40,795;;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-C-60-318-0,09-CR-D;Vinaixa Desvio 1;No;;No;Talón;Derecha;17/04/2014;83190726,28;459382560,84;100669367;VINAIXA-LA PLANA-PICAMOIXONS                                                                                                    ;40,429;66,002
13113;Reus - VIA;;;DS-1-73101 (ALCOVER);2900;PLANA DE PICAMOIXONS-KM 84.896, U;74,628;;230;2 ;PLANA-PICAMOIXON - REUS;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-A-54-320/400-0,09-CR-D;Alcover Desvio 1;No;;;Talón;Derecha;15/11/2018;84975655,27;457581750,32;100682085;LA PLANA-PICAMOIXONS-REUS                                                                                                       ;68,128;84,896
14116;Vic - VIA;;;DS-1-77110 (MANLLEU);3600;VIC-RIPOLL, U;77,18;;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-C-54-318-0,09-CR-D;;No;;No;Punta;Derecha;06/11/2024;93663343,44;466316937,8;100672824;VIC-LA FARGA DE BEBIE (APD)                                                                                                     ;68,667;96,956
14116;Vic - VIA;;;DS-1-77111 (TORELLO);3600;VIC-RIPOLL, U;84,876;;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-C-54-500-0,09-CC-D;;No;;No;Punta;Derecha;06/11/2024;93561962,97;466917036,26;100672830;VIC-LA FARGA DE BEBIE (APD)                                                                                                     ;68,667;96,956
13122;Monzon - VIA;;;DS-1-78302 (BINEFAR);200020;S. JUAN DE MOZARRIFAR-LERIDA, U;138,605;;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-C-60-318-0,09-CR-D;Binéfar Desvio 1;No;;No;Talón;Derecha;04/12/2024;77351541,64;463828554,13;100672215;BINEFAR-ALMACELLES                                                                                                              ;138,317;159,314
13121;Lleida - VIA;;;DS-1-78408 (TARREGA);2700;LERIDA-MANRESA, U;227,074;;220;2 ;LLEIDA-PIRINEUS - BIF. VILANOVA;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-A-54-320/400-0,09-CR-D;Tárrega Desvio 1;No;;No;Talón;Derecha;17/04/2014;84498275,99;461961096,29;100679435;AG. KM. 185,747-CERVERA                                                                                                         ;185,747;240,104
