EQM1 Código;EQM1;Identificador Elemento Inventario;Código Vía;Vía;PK Inicial;PK Final;Línea Código;Línea Eje;Línea Descripción;Denominación;Estado Elemento Inventario;Plan de autoprotección ;Descripción Elemento Inventario;"	Número de vías que contiene el túnel ";Longitud (m);Identificador Antecesores;Id. Raíz;Id. Inventario;Código Trayecto;Trayecto;Trayecto Pk Ini;Trayecto Pk Fin
14121;Port Bou;TU - nº 10 Canyellas - 270 - 261,34;200071;BIF. AIGUES -PORT BOU-CERBERE,I;261,34;262,564;270;2 ;CERBERE - BIF. ARAGO;nº 10 Canyellas;En Servicio/Mantenible;Sí;nº 10 Canyellas;2;1224,;TU - nº 10 Canyellas - 270 - 261,34;107095549;107095549;022700150;FIGUERES-PORTBOU                                                                                                                ;247,07;273,106
14117;Ripoll - VIA;TU - nº 24 Artificial - 222 - 20,74;3610;RIPOLL-LA TOUR DE CAROL, U;20,74;20,825;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;nº 24 Artificial;En Servicio/Mantenible;No;nº 24 Artificial;1;85,;TU - nº 24 Artificial - 222 - 20,74;107095385;107095385;022220090;PLANOLES-PUIGCERDA                                                                                                              ;20,21;48,6
14117;Ripoll - VIA;TU - nº 4 de la Corba - 222 - 9,105;3610;RIPOLL-LA TOUR DE CAROL, U;9,105;9,223;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;nº 4 de la Corba;En Servicio/Mantenible;No;nº 4 de la Corba;1;118,;TU - nº 4 de la Corba - 222 - 9,105;107095115;107095115;022220070;RIPOLL-RIBES DE FRESER                                                                                                          ;0,;13,45
14117;Ripoll - VIA;TU - nº 42 Artificial - 222 - 39,75;3610;RIPOLL-LA TOUR DE CAROL, U;39,75;39,82;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;nº 42 Artificial;En Servicio/Mantenible;No;nº 42 Artificial;1;70,;TU - nº 42 Artificial - 222 - 39,75;107095393;107095393;022220090;PLANOLES-PUIGCERDA                                                                                                              ;20,21;48,6
14117;Ripoll - VIA;TU - nº 5 de Turunel - 222 - 91,896;3600;VIC-RIPOLL, U;91,896;92,001;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;nº 5 de Turunel;En Servicio/Mantenible;No;nº 5 de Turunel;1;105,;TU - nº 5 de Turunel - 222 - 91,896;107095579;107095579;022220050;VIC-LA FARGA DE BEBIE (APD)                                                                                                     ;68,667;96,956
14117;Ripoll - VIA;TU - nº 6 Artificial - 222 - 11,487;3610;RIPOLL-LA TOUR DE CAROL, U;11,487;11,712;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;nº 6 Artificial;En Servicio/Mantenible;Sí;nº 6 Artificial;1;225,;TU - nº 6 Artificial - 222 - 11,487;107095376;107095376;022220070;RIPOLL-RIBES DE FRESER                                                                                                          ;0,;13,45
14119;Granollers Centre- VIA;TU - nº 7 del Corró - 270 - 139,802;200071;BIF. AIGUES -PORT BOU-CERBERE,I;139,802;140,375;270;2 ;CERBERE - BIF. ARAGO;nº 7 del Corró;En Servicio/Mantenible;No;nº 7 del Corró;2;573,;TU - nº 7 del Corró - 270 - 139,802;107094536;107094536;022700070;GRANOLLERS-CENTRE-SANT CELONI                                                                                                   ;135,305;157,131
14117;Ripoll - VIA;TU - nº 8 Artificial - 222 - 12,443;3610;RIPOLL-LA TOUR DE CAROL, U;12,443;12,747;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;nº 8 Artificial;En Servicio/Mantenible;Sí;nº 8 Artificial;1;304,;TU - nº 8 Artificial - 222 - 12,443;107095305;107095305;022220070;RIPOLL-RIBES DE FRESER                                                                                                          ;0,;13,45
14117;Ripoll - VIA;TU - nº 9 Artificial - 222 - 12,815;3610;RIPOLL-LA TOUR DE CAROL, U;12,815;12,865;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;nº 9 Artificial;En Servicio/Mantenible;Sí;nº 9 Artificial;1;50,;TU - nº 9 Artificial - 222 - 12,815;107095378;107095378;022220070;RIPOLL-RIBES DE FRESER                                                                                                          ;0,;13,45
13114;Mora La Nova- VIA;TU - Artificial Ascó - 210 - 515,186;2400;MIRAFLORES-REUS, U;515,186;515,455;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;Artificial Ascó;En Servicio/Mantenible;No;Artificial Ascó;1;269,;TU - Artificial Ascó - 210 - 515,186;107095029;107095029;022100110;FLIX-MORA LA NOVA                                                                                                               ;511,627;531,315
13112;S. Vicenç de Calders - VIA;TU - Nº 97 (via par) - 200 - 649,834;200110;SAN VICENTE DE CALDERS-BARCELONA SANTS, II;649,834;650,076;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Nº 97 (via par);En Servicio/Mantenible;No;Nº 97 (via par);1;234,;TU - Nº 97 (via par) - 200 - 649,834;107094531;107094531;022000510;SITGES-CASTELLDEFELS                                                                                                            ;643,3;658,947
14118;Mataro - VIA;TU - Punta de la Serp - 276 - 39,352;3400;MATARO-MATARO-MASSANET, I;39,352;39,404;276;2 ;MAÇANET-MASSANES - L'HOSPITALET DE LLOBREGAT;Punta de la Serp;En Servicio/Mantenible;No;Punta de la Serp;1;52,;TU - Punta de la Serp - 276 - 39,352;107094562;107094562;022760120;CALELLA - ARENYS DE MAR                                                                                                         ;38,131;48,724
13121;Lleida - VIA;TU - Salas de Pallas 4 - 893 - 83,72;2600;PK. 1,927 - LA POBLA DE SEGUR, U;83,72;83,89;893;2 ;RAMALES DE LA LINEA MADRID-CHAMARTIN - BARNA-SANTS;Salas de Pallas 4;En Servicio/No Mantenible;No;Salas de Pallas 4;1;170,;TU - Salas de Pallas 4 - 893 - 83,72;107095221;107095221;;;;
13121;Lleida - VIA;TU - Selles-Llimiana 10 - 893 - 62,5;2600;PK. 1,927 - LA POBLA DE SEGUR, U;62,5;62,534;893;2 ;RAMALES DE LA LINEA MADRID-CHAMARTIN - BARNA-SANTS;Selles-Llimiana 10;En Servicio/No Mantenible;No;Selles-Llimiana 10;1;34,;TU - Selles-Llimiana 10 - 893 - 62,5;107095202;107095202;;;;
