EQM1 Código;EQM1;Identificador Elemento Inventario;Código Vía;Vía;PK Inicial;PK Final;Línea Código;Línea Eje;Línea Descripción;Denominación;Estado Elemento Inventario;Plan de autoprotección ;Descripción Elemento Inventario;"	Número de vías que contiene el túnel ";Longitud (m);Identificador Antecesores;Id. Raíz;Id. Inventario;Código Trayecto;Trayecto;Trayecto Pk Ini;Trayecto Pk Fin
14112;Montcada Bifurcaçiò - VIA;TU - BARCELONA TERMINO - 200 - 683,771;3300;BIF. ARAGON-BARCELONA FRANCIA, I;683,771;684,681;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;BARCELONA TERMINO;En Servicio/Mantenible;Sí;Barcelona Término;2;910,;TU - BARCELONA TERMINO - 200 - 683,771;107094785;107094785;022000585;BIF.GLORIAS-CLOT - BARNA.-EST. DE FRANÇA                                                                                        ;682,603;685,375
13121;Lleida - VIA;TU - FT bajo LAV Mad-Bar - 200 - 12,75;200030;LERIDA-LA PLANA PICAMOIXONS, U;12,75;12,845;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;FT bajo LAV Mad-Bar;En Servicio/Mantenible;No;FT bajo LAV Mad-Bar;2;95,;TU - FT bajo LAV Mad-Bar - 200 - 12,75;1498381;1498381;022000430;PUIGVERD DE LLEIDA-ARTESA-VINAIXA                                                                                               ;11,619;40,429
14118;Mataro - VIA;TU - Punta de la Cigala - 276 - 42,553;3400;MATARO-MATARO-MASSANET, I;42,553;42,616;276;2 ;MAÇANET-MASSANES - L'HOSPITALET DE LLOBREGAT;Punta de la Cigala;En Servicio/Mantenible;No;Punta de la Cigala;1;63,;TU - Punta de la Cigala - 276 - 42,553;107095195;107095195;022760120;CALELLA - ARENYS DE MAR                                                                                                         ;38,131;48,724
12108;Caspe - VIA;TU - Señal E'1 Nonaspe - 210 - 481,961;2400;MIRAFLORES-REUS, U;481,961;482,013;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;Señal E'1 Nonaspe;En Servicio/Mantenible;No;Señal E'1 Nonaspe;1;52,;TU - Señal E'1 Nonaspe - 210 - 481,961;107094772;107094772;022100090;CASPE-FAIO-LA POBLA DE MASSALUCA                                                                                                ;453,043;490,231
14113;Martorell - VIA;TU - Tunel Autopista B-23 - 238 - ,317;3190;AG 11 CASTELLBISBAL AGUJAS LLOBREGAT- BARCELONA MORROT, I, (ANCHO MIXTO);0,317;0,426;238;2 ;CASTELLBISBAL-AGUJAS LLOBREGAT - BARCELONA-MORROT;Tunel Autopista B-23;En Servicio/Mantenible;No;Tunel Autopista B-23;1;109,;TU - Tunel Autopista B-23 - 238 - ,317;1498054;1498054;022380005;CASTELLBISBAL-AGUJAS LLOBREGAT-CASTELLBISBAL-AGUJAS MOLINS                                                                      ;0,;0,86
14116;Vic - VIA;TU - Turó de la Framica - 222 - 10,966;3500;MONTCADA BIF.-LES FRANQUESES DEL VALLES-VIC, U;10,966;11,137;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;Turó de la Framica;En Servicio/Mantenible;No;Turó de la Framica;1;170,;TU - Turó de la Framica - 222 - 10,966;107095578;107095578;022220010;MONTCADA-BIFURCACIO-GRANOLLERS-CANOVELLES                                                                                       ;8,943;28,728
13121;Lleida - VIA;TU - Villanueva de la Sal 1 - 893 - 38;2600;PK. 1,927 - LA POBLA DE SEGUR, U;38,;41,499;893;2 ;RAMALES DE LA LINEA MADRID-CHAMARTIN - BARNA-SANTS;Villanueva de la Sal 1;En Servicio/No Mantenible;No;Villanueva de la Sal 1;1;3499,;TU - Villanueva de la Sal 1 - 893 - 38;107094778;107094778;;;;
13112;S. Vicenç de Calders - VIA;TU - de Samá (via par) - 200 - 637,642;200110;SAN VICENTE DE CALDERS-BARCELONA SANTS, II;637,642;637,733;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;de Samá (via par);En Servicio/Mantenible;No;de Samá (via par);1;91,;TU - de Samá (via par) - 200 - 637,642;107095531;107095531;022000500;VILANOVA I LA GELTRU-SITGES                                                                                                     ;636,;643,3
14117;Ripoll - VIA;TU - nº 12 de la Corba - 222 - 101,744;3600;VIC-RIPOLL, U;101,744;101,914;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;nº 12 de la Corba;En Servicio/Mantenible;No;nº 12 de la Corba;1;170,;TU - nº 12 de la Corba - 222 - 101,744;107095588;107095588;022220060;LA FARGA DE BEBIE-RIPOLL                                                                                                        ;96,956;105,586
14121;Port Bou;TU - nº 15 de Belitres - 270 - 273,661;200071;BIF. AIGUES -PORT BOU-CERBERE,I;273,661;274,305;270;2 ;CERBERE - BIF. ARAGO;nº 15 de Belitres;En Servicio/Mantenible;Sí;nº 15 de Belitres;2;1069,;TU - nº 15 de Belitres - 270 - 273,661;107094538;107094538;022700165;P.K.274,305 (FRONTERA) - CERBERE                                                                                                ;274,3;274,305
14117;Ripoll - VIA;TU - nº 6 bis Artificial - 222 - 94,32;3600;VIC-RIPOLL, U;94,32;94,398;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;nº 6 bis Artificial;En Servicio/Mantenible;No;nº 6 bis Artificial;1;78,;TU - nº 6 bis Artificial - 222 - 94,32;107095581;107095581;022220050;VIC-LA FARGA DE BEBIE (APD)                                                                                                     ;68,667;96,956
13112;S. Vicenç de Calders - VIA;TU - Nº 97' (via impar) - 200 - 649,414;200050;RODA DE BARA-BARCELONA SANTS, I;649,414;651,285;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Nº 97' (via impar);En Servicio/Mantenible;No;Nº 97' (via impar);1;1872,;TU - Nº 97' (via impar) - 200 - 649,414;107095536;107095536;022000510;SITGES-CASTELLDEFELS                                                                                                            ;643,3;658,947
14111;L Hospitalet - VIA;TU - PS Autopista C-32  - 200 - 657,809;200050;RODA DE BARA-BARCELONA SANTS, I;657,809;658,02;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;PS Autopista C-32 ;En Servicio/Mantenible;No;PS Autopista C-32;1;211,;TU - PS Autopista C-32  - 200 - 657,809;1610227;1610227;022000510;SITGES-CASTELLDEFELS                                                                                                            ;643,3;658,947
14118;Mataro - VIA;TU - Punta de la Torreta - 276 - 46,551;3400;MATARO-MATARO-MASSANET, I;46,551;46,993;276;2 ;MAÇANET-MASSANES - L'HOSPITALET DE LLOBREGAT;Punta de la Torreta;En Servicio/Mantenible;No;Punta de la Torreta;1;400,;TU - Punta de la Torreta - 276 - 46,551;107094552;107094552;022760120;CALELLA - ARENYS DE MAR                                                                                                         ;38,131;48,724
12108;Caspe - VIA;TU - Salida de Chiprana - 210 - 443,208;2400;MIRAFLORES-REUS, U;443,208;443,228;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;Salida de Chiprana;En Servicio/Mantenible;No;Salida de Chiprana;1;20,;TU - Salida de Chiprana - 210 - 443,208;107095292;107095292;022100080;ESCATRON-CASPE                                                                                                                  ;430,355;453,043
13112;S. Vicenç de Calders - VIA;TU - de Samá (via impar) - 200 - 637,58;200050;RODA DE BARA-BARCELONA SANTS, I;637,58;637,733;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;de Samá (via impar);En Servicio/Mantenible;No;de Samá (via impar);1;155,;TU - de Samá (via impar) - 200 - 637,58;107094930;107094930;022000500;VILANOVA I LA GELTRU-SITGES                                                                                                     ;636,;643,3
14117;Ripoll - VIA;TU - nº 13 de Sant Antoni - 222 - 14,07;3610;RIPOLL-LA TOUR DE CAROL, U;14,07;14,286;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;nº 13 de Sant Antoni;En Servicio/Mantenible;No;nº 13 de Sant Antoni;1;216,;TU - nº 13 de Sant Antoni - 222 - 14,07;107095340;107095340;022220080;RIBES DE FRESER-PLANOLES                                                                                                        ;13,45;20,21
14117;Ripoll - VIA;TU - nº 30 de las Roviras - 222 - 24,45;3610;RIPOLL-LA TOUR DE CAROL, U;24,45;24,631;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;nº 30 de las Roviras;En Servicio/Mantenible;No;nº 30 de las Roviras;1;181,;TU - nº 30 de las Roviras - 222 - 24,45;107095328;107095328;022220090;PLANOLES-PUIGCERDA                                                                                                              ;20,21;48,6
14117;Ripoll - VIA;TU - nº 31 de Cogomellas - 222 - 25,117;3610;RIPOLL-LA TOUR DE CAROL, U;25,117;25,133;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;nº 31 de Cogomellas;En Servicio/Mantenible;No;nº 31 de Cogomellas;1;15,;TU - nº 31 de Cogomellas - 222 - 25,117;107095345;107095345;022220090;PLANOLES-PUIGCERDA                                                                                                              ;20,21;48,6
14117;Ripoll - VIA;TU - nº 8 de Rocafiguera - 222 - 97,288;3600;VIC-RIPOLL, U;97,288;97,327;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;nº 8 de Rocafiguera;En Servicio/Mantenible;No;nº 8 de Rocafiguera;1;39,;TU - nº 8 de Rocafiguera - 222 - 97,288;107095583;107095583;022220060;LA FARGA DE BEBIE-RIPOLL                                                                                                        ;96,956;105,586
13112;S. Vicenç de Calders - VIA;TU - Artificial (via par) - 200 - 646,49;200110;SAN VICENTE DE CALDERS-BARCELONA SANTS, II;646,49;646,615;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Artificial (via par);En Servicio/Mantenible;No;Artificial (via par);1;117,;TU - Artificial (via par) - 200 - 646,49;107094937;107094937;022000510;SITGES-CASTELLDEFELS                                                                                                            ;643,3;658,947
14113;Martorell - VIA;TU - Artificial B-30 y FGC - 246 - 6,613;3150;AG. 11 CASTELLBISBAL AG. LLOBREGAT -  BIF. NUDO MOLLET ,I (ANCHO MIXTO);6,613;7,026;246;2 ;CASTELLBISBAL AGUJAS RUBI - MOLLET-SANT FOST;Artificial B-30 y FGC;En Servicio/Mantenible;No;Artificial B-30 y FGC;2;412,;TU - Artificial B-30 y FGC - 246 - 6,613;1037004;1037004;022460015;CASTELLBISBAL-AGUJAS LLOBREGAT-CERDANYOLA UNIVERSITAT                                                                           ;1,129;13,475
14113;Martorell - VIA;TU - Carretera B-150 Vía I - 246 - 1,784;3150;AG. 11 CASTELLBISBAL AG. LLOBREGAT -  BIF. NUDO MOLLET ,I (ANCHO MIXTO);1,784;1,924;246;2 ;CASTELLBISBAL AGUJAS RUBI - MOLLET-SANT FOST;Carretera B-150 Vía I;En Servicio/Mantenible;No;Carretera B-150 Vía I;1;140,;TU - Carretera B-150 Vía I - 246 - 1,784;1038989;1038989;022460015;CASTELLBISBAL-AGUJAS LLOBREGAT-CERDANYOLA UNIVERSITAT                                                                           ;1,129;13,475
14114;Manresa - VIA;TU - Pequeño de Tornella - 220 - 322,724;2800;MANRESA-MONTCADA BIF.- BIF.VILANOVA, I;322,724;322,802;220;2 ;LLEIDA-PIRINEUS - BIF. VILANOVA;Pequeño de Tornella;En Servicio/Mantenible;No; Pequeño de Tornella;1;78,;TU - Pequeño de Tornella - 220 - 322,724;107095565;107095565;022200060;SANT VICENÇ DE CASTELLET-TERRASSA ESTACIÓ DEL NORD                                                                              ;309,628;333,74
14118;Mataro - VIA;TU - de la Punta del Sepi - 276 - 36,985;3400;MATARO-MATARO-MASSANET, I;36,985;37,18;276;2 ;MAÇANET-MASSANES - L'HOSPITALET DE LLOBREGAT;de la Punta del Sepi;En Servicio/Mantenible;No;de la Punta del Sepi;2;195,;TU - de la Punta del Sepi - 276 - 36,985;107094563;107094563;022760130;ARENYS DE MAR - MATARO                                                                                                          ;30,555;38,131
14111;L Hospitalet - VIA;TU - del Pas Trencat (I) - 200 - 653,988;200050;RODA DE BARA-BARCELONA SANTS, I;653,988;654,075;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;del Pas Trencat (I);En Servicio/Mantenible;No;del Pas Trencat (I);2;86,;TU - del Pas Trencat (I) - 200 - 653,988;107095543;107095543;022000510;SITGES-CASTELLDEFELS                                                                                                            ;643,3;658,947
14121;Port Bou;TU - nº 13 de San Antoni - 270 - 269,813;200071;BIF. AIGUES -PORT BOU-CERBERE,I;269,813;270,173;270;2 ;CERBERE - BIF. ARAGO;nº 13 de San Antoni;En Servicio/Mantenible;No;nº 13 de San Antoni;2;360,;TU - nº 13 de San Antoni - 270 - 269,813;107095551;107095551;022700150;FIGUERES-PORTBOU                                                                                                                ;247,07;273,106
14117;Ripoll - VIA;TU - nº 37 de la Torratxa - 222 - 36,106;3610;RIPOLL-LA TOUR DE CAROL, U;36,106;36,278;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;nº 37 de la Torratxa;En Servicio/Mantenible;No;nº 37 de la Torratxa;1;172,;TU - nº 37 de la Torratxa - 222 - 36,106;107095177;107095177;022220090;PLANOLES-PUIGCERDA                                                                                                              ;20,21;48,6
14117;Ripoll - VIA;TU - nº 40 de Sant Estebe - 222 - 38,481;3610;RIPOLL-LA TOUR DE CAROL, U;38,481;38,714;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;nº 40 de Sant Estebe;En Servicio/Mantenible;No;nº 40 de Sant Estebe;1;233,;TU - nº 40 de Sant Estebe - 222 - 38,481;107095392;107095392;022220090;PLANOLES-PUIGCERDA                                                                                                              ;20,21;48,6
14112;Montcada Bifurcaçiò - VIA;TU - Bif. Aragó-Bif. Sagrera - 270 - ,109;200121;BIF. ARAGO- BIF. AIGUES SALTO PK 7,233/115,606 (NUEVA VARIANTE), II;0,109;2,388;270;2 ;CERBERE - BIF. ARAGO;Bif. Aragó-Bif. Sagrera;En Servicio/Mantenible;No;Aragón-Sagrera;2;2279,;TU - Bif. Aragó-Bif. Sagrera - 270 - ,109;107095590;107095590;022700004;EL CLOT-BIF. SAGRERA                                                                                                            ;1,841;3,1
14113;Martorell - VIA;TU - Carretera B-150 Vía II - 246 - 1,618;3160;AG. 19 CASTELLBISBALL AG. LLOBREGAT-AG. PK. 21/5, II (ANCHO MIXTO);1,618;1,895;246;2 ;CASTELLBISBAL AGUJAS RUBI - MOLLET-SANT FOST;Carretera B-150 Vía II;En Servicio/Mantenible;No;Carretera B-150 Vía II;1;277,;TU - Carretera B-150 Vía II - 246 - 1,618;1141272;1141272;022460015;CASTELLBISBAL-AGUJAS LLOBREGAT-CERDANYOLA UNIVERSITAT                                                                           ;1,293;13,475
13113;Reus - VIA;TU - La Plana Picamoixons  - 200 - 67,924;200030;LERIDA-LA PLANA PICAMOIXONS, U;67,924;68,006;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;La Plana Picamoixons ;En Servicio/Mantenible;No;La Plana Picamoixons ;1;82,;TU - La Plana Picamoixons  - 200 - 67,924;1498609;1498609;022000440;VINAIXA-LA PLANA-PICAMOIXONS                                                                                                    ;66,002;68,128
14117;Ripoll - VIA;TU - Nº 10 bis Artificial - 222 - 100,351;3600;VIC-RIPOLL, U;100,351;100,381;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;Nº 10 bis Artificial;En Servicio/Mantenible;No;Nº 10 bis Artificial;1;30,;TU - Nº 10 bis Artificial - 222 - 100,351;107095585;107095585;022220060;LA FARGA DE BEBIE-RIPOLL                                                                                                        ;96,956;105,586
14117;Ripoll - VIA;TU - Nº 10 tri Artificial - 222 - 100,387;3600;VIC-RIPOLL, U;100,387;100,41;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;Nº 10 tri Artificial;En Servicio/Mantenible;No;Nº 10 tri Artificial;1;23,;TU - Nº 10 tri Artificial - 222 - 100,387;107095586;107095586;022220060;LA FARGA DE BEBIE-RIPOLL                                                                                                        ;96,956;105,586
13112;S. Vicenç de Calders - VIA;TU - Dels Colls (via impar) - 200 - 638,57;200050;RODA DE BARA-BARCELONA SANTS, I;638,57;638,669;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Dels Colls (via impar);En Servicio/Mantenible;No;Dels Colls (via impar);1;99,;TU - Dels Colls (via impar) - 200 - 638,57;1036651;1036651;022000500;VILANOVA I LA GELTRU-SITGES                                                                                                     ;636,;643,3
13114;Mora La Nova- VIA;TU - Mora la Nueva (Darmós) - 210 - 535,35;2400;MIRAFLORES-REUS, U;535,35;536,108;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;Mora la Nueva (Darmós);En Servicio/Mantenible;No;Mora la Nueva (Darmós);1;758,;TU - Mora la Nueva (Darmós) - 210 - 535,35;107094901;107094901;022100120;MORA LA NOVA-REUS                                                                                                               ;531,315;580,41
14117;Ripoll - VIA;TU - Nº 10 Llastanosa Nº 1 - 222 - 100,286;3600;VIC-RIPOLL, U;100,286;100,351;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;Nº 10 Llastanosa Nº 1;En Servicio/Mantenible;No;Nº 10 Llastanosa Nº 1;1;65,;TU - Nº 10 Llastanosa Nº 1 - 222 - 100,286;107094615;107094615;022220060;LA FARGA DE BEBIE-RIPOLL                                                                                                        ;96,956;105,586
13113;Reus - VIA;TU - Ruidecañas-Botarell 4 - 210 - 565,709;2400;MIRAFLORES-REUS, U;565,709;565,8;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;Ruidecañas-Botarell 4;En Servicio/Mantenible;No;Ruidecañas-Botarell 4;1;91,;TU - Ruidecañas-Botarell 4 - 210 - 565,709;107094551;107094551;022100120;MORA LA NOVA-REUS                                                                                                               ;531,315;580,41
13121;Lleida - VIA;TU - Villanueva de la Sal 2 - 893 - 41,963;2600;PK. 1,927 - LA POBLA DE SEGUR, U;41,963;42,122;893;2 ;RAMALES DE LA LINEA MADRID-CHAMARTIN - BARNA-SANTS;Villanueva de la Sal 2;En Servicio/No Mantenible;No;Villanueva de la Sal 2;1;159,;TU - Villanueva de la Sal 2 - 893 - 41,963;107094759;107094759;;;;
13121;Lleida - VIA;TU - Villanueva de la Sal 3 - 893 - 42,382;2600;PK. 1,927 - LA POBLA DE SEGUR, U;42,382;42,557;893;2 ;RAMALES DE LA LINEA MADRID-CHAMARTIN - BARNA-SANTS;Villanueva de la Sal 3;En Servicio/No Mantenible;No;Villanueva de la Sal 3;1;175,;TU - Villanueva de la Sal 3 - 893 - 42,382;107094810;107094810;;;;
13121;Lleida - VIA;TU - Villanueva de la Sal 4 - 893 - 42,955;2600;PK. 1,927 - LA POBLA DE SEGUR, U;42,955;43,952;893;2 ;RAMALES DE LA LINEA MADRID-CHAMARTIN - BARNA-SANTS;Villanueva de la Sal 4;En Servicio/No Mantenible;No;Villanueva de la Sal 4;1;997,;TU - Villanueva de la Sal 4 - 893 - 42,955;107095218;107095218;;;;
13112;S. Vicenç de Calders - VIA;TU - de las Coves 1 Bitubo - 200 - 639,438;200110;SAN VICENTE DE CALDERS-BARCELONA SANTS, II;639,438;639,474;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;de las Coves 1 Bitubo;En Servicio/Mantenible;No;de las Coves 1 Bitubo;2;122,;TU - de las Coves 1 Bitubo - 200 - 639,438;107095532;107095532;022000500;VILANOVA I LA GELTRU-SITGES                                                                                                     ;636,;643,3
13112;S. Vicenç de Calders - VIA;TU - del Francés (via par) - 200 - 649,444;200110;SAN VICENTE DE CALDERS-BARCELONA SANTS, II;649,444;649,778;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;del Francés (via par);En Servicio/Mantenible;No;del Francés (via par);1;344,;TU - del Francés (via par) - 200 - 649,444;107094532;107094532;022000510;SITGES-CASTELLDEFELS                                                                                                            ;643,3;658,947
14117;Ripoll - VIA;TU - nº 10 Feixas del Tuena - 222 - 13,005;3610;RIPOLL-LA TOUR DE CAROL, U;13,005;13,126;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;nº 10 Feixas del Tuena;En Servicio/Mantenible;Sí;nº 10 Feixas del Tuena;1;121,;TU - nº 10 Feixas del Tuena - 222 - 13,005;107095379;107095379;022220070;RIPOLL-RIBES DE FRESER                                                                                                          ;0,;13,45
14117;Ripoll - VIA;TU - nº 12 bis artificial  - 222 - 101,914;3600;VIC-RIPOLL, U;101,914;101,963;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;nº 12 bis artificial ;En Servicio/Mantenible;No;nº 12 bis artificial ;1;49,;TU - nº 12 bis artificial  - 222 - 101,914;1036522;1036522;022220060;LA FARGA DE BEBIE-RIPOLL                                                                                                        ;96,956;105,586
12108;Caspe - VIA;TU - 6º de los Siete Enanitos - 210 - 488,2;2400;MIRAFLORES-REUS, U;488,2;488,253;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;6º de los Siete Enanitos;En Servicio/Mantenible;No;6º de los Siete Enanitos;1;53,;TU - 6º de los Siete Enanitos - 210 - 488,2;107094774;107094774;022100090;CASPE-FAIO-LA POBLA DE MASSALUCA                                                                                                ;453,043;490,231
12108;Caspe - VIA;TU - Entrada de Val de Pilas - 210 - 463,16;2400;MIRAFLORES-REUS, U;463,16;463,843;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;Entrada de Val de Pilas;En Servicio/Mantenible;No;Entrada de Val de Pilas;1;683,;TU - Entrada de Val de Pilas - 210 - 463,16;107095295;107095295;022100090;CASPE-FAIO-LA POBLA DE MASSALUCA                                                                                                ;453,043;490,231
12111;Huesca - VIA;TU - Internacional de Somport - 204 - 25,16;2520;JACA-CANFRANC, U;25,16;25,16;204;2 ;BIF. CANFRANC - CANFRANC;Internacional de Somport;En Servicio/Mantenible;No;Internacional de Somport;1;7871,;TU - Internacional de Somport - 204 - 25,16;107095530;107095530;022040050;JACA-CANFRANC                                                                                                                   ;0,31;25,16
13121;Lleida - VIA;TU - S. Lorenzo de Montgay 1 - 893 - 36,551;2600;PK. 1,927 - LA POBLA DE SEGUR, U;36,551;36,857;893;2 ;RAMALES DE LA LINEA MADRID-CHAMARTIN - BARNA-SANTS;S. Lorenzo de Montgay 1;En Servicio/No Mantenible;No;S. Lorenzo de Montgay 1;1;306,;TU - S. Lorenzo de Montgay 1 - 893 - 36,551;107095120;107095120;;;;
13121;Lleida - VIA;TU - S. Lorenzo de Montgay 2 - 893 - 36,985;2600;PK. 1,927 - LA POBLA DE SEGUR, U;36,985;37,18;893;2 ;RAMALES DE LA LINEA MADRID-CHAMARTIN - BARNA-SANTS;S. Lorenzo de Montgay 2;En Servicio/No Mantenible;No;S. Lorenzo de Montgay 2;1;195,;TU - S. Lorenzo de Montgay 2 - 893 - 36,985;107095048;107095048;;;;
14114;Manresa - VIA;TU - Soterramiento Sabadell - 220 - 340,054;2800;MANRESA-MONTCADA BIF.- BIF.VILANOVA, I;340,054;345,483;220;2 ;LLEIDA-PIRINEUS - BIF. VILANOVA;Soterramiento Sabadell;En Servicio/Mantenible;Sí;Soterramiento Sabadell;2;5429,;TU - Soterramiento Sabadell - 220 - 340,054;107094892;107094892;022200070;TERRASSA ESTACIÓ DEL NORD-CERDANYOLA DEL VALLES                                                                                 ;333,74;351,157
14121;Port Bou;TU - nº 14 bis Pineda ciego - 270 - 272,721;200071;BIF. AIGUES -PORT BOU-CERBERE,I;272,721;272,799;270;2 ;CERBERE - BIF. ARAGO;nº 14 bis Pineda ciego;En Servicio/Mantenible;No;nº 14 bis Pineda ciego;2;78,;TU - nº 14 bis Pineda ciego - 270 - 272,721;1583773;1583773;022700150;FIGUERES-PORTBOU                                                                                                                ;247,07;273,106
14117;Ripoll - VIA;TU - nº 34 de los Carabuicios - 222 - 28,94;3610;RIPOLL-LA TOUR DE CAROL, U;28,94;29,031;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;nº 34 de los Carabuicios;En Servicio/Mantenible;No;nº 34 de Carabuicios;1;91,;TU - nº 34 de los Carabuicios - 222 - 28,94;107095389;107095389;022220090;PLANOLES-PUIGCERDA                                                                                                              ;20,21;48,6
12108;Caspe - VIA;TU - 3º de los Siete Enanitos - 210 - 487,88;2400;MIRAFLORES-REUS, U;487,88;487,913;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;3º de los Siete Enanitos;En Servicio/Mantenible;No;3º de los Siete Enanitos;1;33,;TU - 3º de los Siete Enanitos - 210 - 487,88;107095298;107095298;022100090;CASPE-FAIO-LA POBLA DE MASSALUCA                                                                                                ;453,043;490,231
14114;Manresa - VIA;TU - Artificial de Terrasa I - 220 - 332,175;2800;MANRESA-MONTCADA BIF.- BIF.VILANOVA, I;332,175;332,312;220;2 ;LLEIDA-PIRINEUS - BIF. VILANOVA;Artificial de Terrasa I;En Servicio/Mantenible;Sí;Artificial de Terrasa I;1;131,;TU - Artificial de Terrasa I - 220 - 332,175;107094553;107094553;022200060;SANT VICENÇ DE CASTELLET-TERRASSA ESTACIÓ DEL NORD                                                                              ;309,628;333,74
13112;S. Vicenç de Calders - VIA;TU - Punta Ferrosa (via par) - 200 - 646,756;200110;SAN VICENTE DE CALDERS-BARCELONA SANTS, II;646,756;647,191;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Punta Ferrosa (via par);En Servicio/Mantenible;No;Punta Ferrosa (via par);1;422,;TU - Punta Ferrosa (via par) - 200 - 646,756;107094524;107094524;022000510;SITGES-CASTELLDEFELS                                                                                                            ;643,3;658,947
14112;Montcada Bifurcaçiò - VIA;TU - SANCHO D'ÁVILA y ZAMORA - 200 - 683,172;3300;BIF. ARAGON-BARCELONA FRANCIA, I;683,172;683,371;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;SANCHO D'ÁVILA y ZAMORA;En Servicio/Mantenible;Sí;SANCHO D'ÁVILA Y ZAMORA;2;199,;TU - SANCHO D'ÁVILA y ZAMORA - 200 - 683,172;1037065;1037065;022000585;BIF.GLORIAS-CLOT - BARNA.-EST. DE FRANÇA                                                                                        ;682,603;685,375
14118;Mataro - VIA;TU - de Bancells o Buscatells - 276 - 71,655;3400;MATARO-MATARO-MASSANET, I;71,655;71,688;276;2 ;MAÇANET-MASSANES - L'HOSPITALET DE LLOBREGAT;de Bancells o Buscatells;En Servicio/Mantenible;No;de Bancells o Buscatells;1;33,;TU - de Bancells o Buscatells - 276 - 71,655;107095251;107095251;022760100;MAÇANET-MASSANES - BLANES                                                                                                       ;60,103;75,983
13112;S. Vicenç de Calders - VIA;TU - del Francés (via impar) - 200 - 648,756;200050;RODA DE BARA-BARCELONA SANTS, I;648,756;648,864;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;del Francés (via impar);En Servicio/Mantenible;No;del Francés (via impar);1;112,;TU - del Francés (via impar) - 200 - 648,756;107094936;107094936;022000510;SITGES-CASTELLDEFELS                                                                                                            ;643,3;658,947
12108;Caspe - VIA;TU - 1º de los Siete Enanitos - 210 - 487,647;2400;MIRAFLORES-REUS, U;487,647;487,726;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;1º de los Siete Enanitos;En Servicio/Mantenible;No;1º de los Siete Enanitos;1;79,;TU - 1º de los Siete Enanitos - 210 - 487,647;107094773;107094773;022100090;CASPE-FAIO-LA POBLA DE MASSALUCA                                                                                                ;453,043;490,231
