EQM1 Código;EQM1;EQM3;Identificador Elemento Inventario;Vía;PK Inicial;PK Final;Línea Código;Línea Descripción;Longitud total OP (m);Nº vanos/conductos total OP (ud);Denominación;Luz máxima de vano/conducto (m) ;PK Histórico (Km);Velocidad Máxima ferroviaria (Km/h);Observaciones;Código Ingrid;Fecha de Modificación;Usuario de Modificación;Canto Máximo Tablero (m.);Nº Vías;Esviaje;Gálibo Izquierdo (m.);Gálibo Derecho (m.);Ripabilidad Vertical;Entre Ejes Vía (m.);Temperatura Media (ºC);Precipitacion Media Anual (mm.);Muro Guardabalasto;Juntas;Polivalente;Balasto;Vía Electrificada;Drenaje;Acero Corten;Suma de luces de vanos;Material puente;Tipo Tramo Puente;Ubicación Paseos Servicio;Pretiles o Barandillas;Tipo Acceso;Tipo Entorno;Tipo Tramo Base;Sujeción Traviesa Puente;Tipo Sujeción Carril Puente;Tipo Traviesa Puente;Tipo Carril Puente;Tipo Encarriladora;Tipo Posicion Tablero;Capacidad portante;Validado;Gálibo - Ancho estándar (1435);Gálibo - Ancho ibérico (1668);Gálibo - Ancho métrico (1000);Apoyo;Barandilla;Junta de dilatación;Número de estribos;Número de pilas;Coordenada X ED50-HUSO 30 EXTENDIDO;Coordenada Y ED50-HUSO 30 EXTENDIDO;Coordenada X_F ED50-HUSO 30 EXTENDIDO;Coordenada Y_F ED50-HUSO 30 EXTENDIDO;Id. Inventario;Código Trayecto;Trayecto;Trayecto Pk Ini;Trayecto Pk Fin
12106;Zaragoza - VIA;;OPF - 214 - 200285 - PUENTE SOBRE LA A-2 - 7,6;RONDA SUR  (C.I.M.- BIF. TERUEL), I;7,6;;214;CIM ZARAGOZA-LA CARTUJA;85,;4;PUENTE SOBRE LA A-2;17,5;7,6;Sin definir;;RZ/ZA-007600;30/08/2024;ACT_LUZ_VANOS_PUENTES;1,;2;No;;;No;1,8;15,;750,;Sí;No;No;Sí;Sí;No;No;17,5;HA;Hormigón. Losa Fábrica;Ambos lados;Ambos lados;Vehículo Automóvil;Industrial;Hormigón. Pretensado;;HM;Hormigón Monobloque;54;No hay;Superior;Sin definir;Sí;No aplica;Desconocido;No aplica;Sí;Sí;No;2;3;66705761,;461092692,;66705761,;461092692,;1016593;022140030;BIF. PLAZA-BIF.PLAZA-AG.KM.8,9                                                                                                  ;7,28;8,7
14114;Manresa - VIA;;OPF - 220 - 2800 - BARRANCO DE PADRO - 311,574;MANRESA-MONTCADA BIF.- BIF.VILANOVA, I;311,574;;220;LLEIDA-PIRINEUS - BIF. VILANOVA;52,;3;BARRANCO DE PADRO;7,7;311,574;70;;ZA/BA-311574;27/06/2018;INGRID;0,8;2;No;1,2;1,3;No;1,8;12,;750,;Sí;No;No;Sí;Sí;No;No;8,45;Fábrica;Fábrica. Bóveda Medio Punto Tímpanos continuos;No hay;Ambos lados;Vehículo Automóvil;Rural;Fábrica. Ladrillo;Balasto;HM;Hormigón Monobloque;54;No hay;Superior;Sin definir;Sí;No aplica;Desconocido;No aplica;Sí;Sí;No;2;2;90500960,;462281862,;90500960,;462281862,;100017739;022200060;SANT VICENÇ DE CASTELLET-TERRASSA ESTACIÓ DEL NORD                                                                              ;309,628;333,74
14112;Montcada Bifurcaçiò - VIA;;OPF - 220 - 2800 - P.I. CARRER MAJOR - 355,087;MANRESA-MONTCADA BIF.- BIF.VILANOVA, I;355,087;;220;LLEIDA-PIRINEUS - BIF. VILANOVA;38,;3;P.I. CARRER MAJOR;11,5;355,087;95;;ZA/BA-355087;27/06/2018;INGRID;0,;2;No;0,;0,;No;1,8;12,;650,;Sí;No;No;Sí;Sí;No;No;12,25;HA;Hormigón. Tableros de vigas;Ambos lados;Ambos lados;Vehículo Automóvil;Urbano;Hormigón. Pretensado;Balasto;HM;Hormigón Monobloque;54;No hay;Superior;Sin definir;Sí;No aplica;Desconocido;No aplica;Sí;Sí;No;2;2;93316003,;460558509,;93316003,;460558509,;100017790;022200080;CERDANYOLA DEL VALLES-MONTCADA-BIFURCACIO                                                                                       ;351,157;356,707
14112;Montcada Bifurcaçiò - VIA;;OPF - 220 - 2800 - RIERA DE SAN CUGAT - 352,34;MANRESA-MONTCADA BIF.- BIF.VILANOVA, I;352,34;;220;LLEIDA-PIRINEUS - BIF. VILANOVA;24,;1;RIERA DE SAN CUGAT;22,;352,34;Sin definir;;ZA/BA-352340;27/06/2018;INGRID;1,5;2;No;;;No;1,8;11,5;750,;Sí;No;No;Sí;Sí;No;No;22,5;HA;Hormigón. Tableros de vigas;Ambos lados;Ambos lados;Vehículo Automóvil;Rural;Hormigón. Pretensado;;HM;Hormigón Monobloque;54;No hay;Superior;Sin definir;Sí;No aplica;Desconocido;No aplica;No;Sí;No;2;0;93071558,;460568875,;93071558,;460568875,;1016810;022200080;CERDANYOLA DEL VALLES-MONTCADA-BIFURCACIO                                                                                       ;351,157;356,707
14116;Vic - VIA;;OPF - 222 - 3500 - TORRENT DE LA COVA - 38,025;MONTCADA BIF.-LES FRANQUESES DEL VALLES-VIC, U;38,025;;222;LA TOUR DE CAROL - BIF. AIGÜES;4,;1;TORRENT DE LA COVA;3,9;38,025;90;;BA/SJ-038025;20/04/2022;9728445;0,4;1;No;4,1999998;5,0999999;No;;16,;640,;No;No;No;No;Sí;No;No;3,9000001;Fábrica;Fábrica. Bóveda Medio Punto Tímpanos continuos;Sin definir;Izquierdo;Vehículo Automóvil;Urbano;Fábrica. Ladrillo;Balasto;HM;Hormigón Monobloque;60;Sin definir;Superior;Sin definir;Sí;No aplica;Desconocido;No aplica;No;Sí;No;2;0;94024279,;462937506,;94024279,;462937506,;100015345;022220040;LA GARRIGA-VIC                                                                                                                  ;37,677;68,667
14117;Ripoll - VIA;;OPF - 222 - 3600 - RIERA DE LA SOLANA - 94,844;VIC-RIPOLL, U;94,844;;222;LA TOUR DE CAROL - BIF. AIGÜES;23,;1;RIERA DE LA SOLANA;6,;94,844;70;;BA/SJ-094844;17/12/2024;ACT_LUZ_VANOS_PUENTES;0,5;1;Sí;1,6;1,8;No;1,8;14,;700,;Sí;No;No;Sí;Sí;No;No;6,5;Fábrica;Fábrica. Bóveda Medio Punto Tímpanos continuos;No hay;Ambos lados;Vehículo Automóvil;Rural;Fábrica. Sillería;;Vossloh;Hormigón Monobloque;54;No hay;Superior;Sin definir;Sí;No aplica;Desconocido;No aplica;No;Sí;No;2;0;76869121,;444675778,;76869121,;444675778,;857277;022220050;VIC-LA FARGA DE BEBIE (APD)                                                                                                     ;68,667;96,956
14117;Ripoll - VIA;;OPF - 222 - 3610 - BARRANCO PLETASSES - 34,664;RIPOLL-LA TOUR DE CAROL, U;34,664;;222;LA TOUR DE CAROL - BIF. AIGÜES;2,7;1;BARRANCO PLETASSES;1,7;;Sin definir;;;20/04/2022;9728445;;;;;;;;;;;;;;;;;;Fábrica;;;;;;;;;;;;;Sin definir;;No aplica;Desconocido;No aplica;No;No;No;2;0;;;;;1323445;022220090;PLANOLES-PUIGCERDA                                                                                                              ;20,21;48,6
14117;Ripoll - VIA;;OPF - 222 - 3610 - P.I. EN CAMPDEVÀNOL - 4,205;RIPOLL-LA TOUR DE CAROL, U;4,205;;222;LA TOUR DE CAROL - BIF. AIGÜES;11,;1;P.I. EN CAMPDEVÀNOL;2,8;4,205;60;;RI/TC-004205;20/04/2022;9728445;0,4;1;No;1,9;1,3;No;1,8;13,;1000,;No;No;No;No;Sí;No;No;3,7;Fábrica;Fábrica. Bóveda Medio Punto Tímpanos continuos;No hay;No hay;Vehículo Automóvil;Urbano;Fábrica. Ladrillo;;Tirafondos;Madera;45;No hay;Superior;Sin definir;Sí;No aplica;Desconocido;No aplica;No;No;No;2;0;92649313,;468745086,;92649313,;468745086,;106351487;022220070;RIPOLL-RIBES DE FRESER                                                                                                          ;0,;13,45
14117;Ripoll - VIA;;OPF - 222 - 3610 - PUENTE DE LAS COVAS - 10,07;RIPOLL-LA TOUR DE CAROL, U;10,07;;222;LA TOUR DE CAROL - BIF. AIGÜES;32,;1;PUENTE DE LAS COVAS;24,;10,07;100;;RI/TC-010070;27/06/2018;INGRID;1,;1;No;1,5;1,5;No;1,8;13,;700,;Sí;No;No;Sí;Sí;No;No;25,;HA;Hormigón. Bóveda rebajada tímpanos continuos;No hay;Ambos lados;Vehículo Automóvil;Rural;Hormigón. Hormigón en masa;;RN;Madera;54;No hay;Superior;Sin definir;Sí;No aplica;Desconocido;No aplica;No;Sí;No;2;0;92566220,;469289625,;92566220,;469289625,;1016654;022220070;RIPOLL-RIBES DE FRESER                                                                                                          ;0,;13,45
14117;Ripoll - VIA;;OPF - 222 - 3610 - TORRENTE DE DÒRRIA - 23,125;RIPOLL-LA TOUR DE CAROL, U;23,125;;222;LA TOUR DE CAROL - BIF. AIGÜES;8,;1;TORRENTE DE DÒRRIA;6,;23,125;100;;RI/TC-023125;27/06/2018;INGRID;0,7;1;No;1,7;1,7;No;1,8;13,;700,;Sí;No;No;Sí;Sí;No;No;6,7;HA;Hormigón. Bóveda medio punto tímpanos continuos;No hay;No hay;Vehículo Automóvil;Rural;Hormigón. Hormigón en masa;;RN;Madera;54;No hay;Superior;Sin definir;Sí;No aplica;Desconocido;No aplica;No;No;No;2;0;91699267,;469853341,;91699267,;469853341,;1016758;022220090;PLANOLES-PUIGCERDA                                                                                                              ;20,21;48,6
